,Date,Artist,Song,Points,Ref.
517,18-Apr,Exo,"""Call Me Baby""","9,063",
518,25-Apr,Exo,"""Call Me Baby""","7,538",
519,02-May,Exo,"""Call Me Baby""","8,738",
520,09-May,Big Bang,"""Loser""","8,954",
521,16-May,Big Bang,"""Loser""","7,961",
522,23-May,Kim Sung Kyu,"""The Answer""","8,135",
523,30-May,No Show,No Show,No Show,
524,06-Jun,Shinee,"""View""","9,251",
525,13-Jun,Exo,"""Love Me Right""","9,666",
526,20-Jun,Exo,"""Love Me Right""","9,562",
527,27-Jun,Exo,"""Love Me Right""","7,096",
528,04-Jul,AOA,"""Heart Attack""","7,376",
529,11-Jul,Big Bang,"""Sober""","6,563",
530,18-Jul,Girls' Generation,"""Party""","9,660",
531,25-Jul,Infinite,"""Bad""","8,363",
532,01-Aug,No Chart: Ulsan Summer Festival,No Chart: Ulsan Summer Festival,No Chart: Ulsan Summer Festival,
533,08-Aug,Beast,"""YeY""","8,473",
534,15-Aug,Big Bang,"""Let's Not Fall in Love""","7,524",
535,22-Aug,Big Bang,"""Let's Not Fall in Love""","9,472",
536,29-Aug,Girls' Generation,"""Lion Heart""","8,068",
537,05-Sep,No Chart,No Chart,No Chart,
538,12-Sep,No Chart,No Chart,No Chart,
539,19-Sep,Girls' Generation,"""Lion Heart""","9,699",
540,26-Sep,iKon,"""My Type""","8,277",
541,03-Oct,Park Kyung,"""Ordinary Love""","6,693",
542,10-Oct,No Show,No Show,No Show,
543,17-Oct,No Chart,No Chart,No Chart,
544,24-Oct,Taeyeon,"""I""","9,174",
545,31-Oct,No Show: 2015 KBO Pro Baseball Korean Series,No Show: 2015 KBO Pro Baseball Korean Series,No Show: 2015 KBO Pro Baseball Korean Series,
546,07-Nov,No Chart,No Chart,No Chart,
547,14-Nov,IU,"""Twenty-Three""","7,503",
548,22-Apr,Winner,"""Really Really""","7,378",
549,29-Apr,IU,"""Palette""","7,248",
550,06-May,IU,"""Palette""","7,720",
551,13-May,Sechs Kies,"""Be Well""","8,138",
552,20-May,Sechs Kies,"""Be Well""","7,412",
553,27-May,Twice,"""Signal""","8,448",
554,03-Jun,Twice,"""Signal""","8,053",
555,10-Jun,Highlight,"""Calling You""","7,636",
556,17-Jun,G-Dragon,"""Untitled, 2014""","7,854",
557,24-Jun,G-Dragon,"""Untitled, 2014""","7,359",
558,01-Jul,Mamamoo,"""Yes I Am""","8,760",
559,08-Jul,Apink,"""Five""","7,118",
560,15-Jul,Apink,"""Five""","5,742",
561,22-Jul,Red Velvet,"""Red Flavor""","9,427",
562,29-Jul,"Special episode, winners were not announced","Special episode, winners were not announced","Special episode, winners were not announced",
563,05-Aug,Exo,"""Ko Ko Bop""","9,316",
564,12-Aug,Exo,"""Ko Ko Bop""","9,266",
565,19-Aug,Wanna One,"""Energetic""","9,703",
566,26-Aug,Wanna One,"""Energetic""","7,740",
567,02-Sep,Wanna One,"""Energetic""","6,390",
—,"No show, winners were not announced (September 9 – November 18)","No show, winners were not announced (September 9 – November 18)","No show, winners were not announced (September 9 – November 18)","No show, winners were not announced (September 9 – November 18)",
568,25-Nov,Wanna One,"""Beautiful""","8,908",
569,02-Dec,Wanna One,"""Beautiful""","8,291",
570,09-Dec,Wanna One,"""Beautiful""","5,964",
571,16-Dec,Wanna One,"""Beautiful""","5,922",
572,23-Dec,Twice,"""Heart Shaker""","9,929",
—,30-Dec,Twice,"""Heart Shaker""","8,994",
573,06-Jan,Exo,"""Universe""","9,031",
574,13-Jan,Twice,"""Heart Shaker""","7,007",
575,20-Jan,Infinite,"""Tell Me""","6,494",
576,27-Jan,Sunmi,"""Heroine""","6,010",
577,03-Feb,Jonghyun,"""Shinin'""","7,975",
—,10-Feb,,,,
—,17-Feb,,,,
578,24-Feb,iKon,"""Love Scenario""","8,620",
579,03-Mar,iKon,"""Love Scenario""","8,551",
580,10-Mar,iKon,"""Love Scenario""","7,929",
581,17-Mar,Wanna One,"""I Promise You (I.P.U.)""","7,619",
—,24-Mar,,,,
582,31-Mar,Wanna One,"""Boomerang""","9,289",
583,07-Apr,Wanna One,"""Boomerang""","6,425",
584,14-Apr,Winner,"""Everyday""","9,112",
585,21-Apr,Twice,"""What Is Love?""","8,029",
586,28-Apr,Twice,"""What Is Love?""","8,934",
—,05-May,,,,
587,12-May,GFriend,"""Time for the Moon Night""","8,842",
588,19-May,GFriend,"""Time for the Moon Night""","7,872",
589,26-May,BTS,"""Fake Love""","8,919",
590,02-Jun,BTS,"""Fake Love""","10,000",
591,09-Jun,BTS,"""Fake Love""","8,056",
592,16-Jun,Wanna One,"""Light""","8,025",
593,23-Jun,Blackpink,"""Ddu-Du Ddu-Du""","6,071",
594,30-Jun,Blackpink,"""Ddu-Du Ddu-Du""","8,174",
595,07-Jul,Blackpink,"""Ddu-Du Ddu-Du""","7,273",
596,14-Jul,Blackpink,"""Ddu-Du Ddu-Du""","7,367",
597,21-Jul,Twice,"""Dance the Night Away""","9,792",
598,28-Jul,,,,
599,04-Aug,Twice,"""Dance the Night Away""","7,440",
600,11-Aug,Twice,"""Dance the Night Away""","6,575",
601,18-Aug,Red Velvet,"""Power Up""","9,387",
—,25-Aug,,,,
—,01-Sep,,,,
602,08-Sep,,,,
—,15-Sep,,,,
603,22-Sep,Sunmi,"""Siren""","6,513",
604,29-Sep,Got7,"""Lullaby""","6,123",
605,06-Oct,Im Chang-jung,"""There Has Never Been a Day I Haven't Loved You""","5,840",
606,13-Oct,iKon,"""Goodbye Road""","8,577",
607,20-Oct,IU,"""Bbibbi""","8,067",
608,27-Oct,IU,"""Bbibbi""","8,264",
609,03-Nov,IU,"""Bbibbi""","7,729",
—,10-Nov,,,,
610,17-Nov,,,,
—,24-Nov,,,,
611,01-Dec,Wanna One,"""Spring Breeze""","8,123",
612,08-Dec,Mino,"""Fiancé""","6,961",
613,15-Dec,Mino,"""Fiancé""","7,302",
614,22-Dec,Exo,"""Love Shot""","6,762",
615,29-Dec,,,,
662,04-Jan,Red Velvet,"""Psycho""","10,895",
663,11-Jan,Red Velvet,"""Psycho""","9,398",
664,18-Jan,Red Velvet,"""Psycho""","8,047",
—,25-Jan,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
665,01-Feb,Zico,"""Any Song""","8,267",
666,08-Feb,Zico,"""Any Song""","7,630",
667,15-Feb,Zico,"""Any Song""","6,900",
668,22-Feb,Zico,"""Any Song""","7,001",
669,Feb-29,BTS,"""On""","8,288",
670,07-Mar,BTS,"""On""","10,518",
671,14-Mar,BTS,"""On""","8,038",
672,21-Mar,BTS,"""On""","8,516",
673,28-Mar,BTS,"""On""","8,909",
674,04-Apr,Kang Daniel,"""2U""","9,142",
675,11-Apr,Suho,"""Let's Love""","9,861",
676,18-Apr,(G)I-dle,"""Oh My God""","8,788",
677,25-Apr,Apink,"""Dumhdurum""","10,780",
678,02-May,Apink,"""Dumhdurum""","10,147",
679,09-May,Oh My Girl,"""Nonstop""","9,433",
—,16-May,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
680,23-May,NU'EST,"""I’m in Trouble""","9,166",
681,30-May,NCT 127,"""Punch""","9,374",
—,06-Jun,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
682,13-Jun,Twice,"""More & More""","10,871",
683,20-Jun,Twice,"""More & More""","9,448",
684,27-Jun,Iz*One,"""Secret Story of the Swan""","9,492",
685,04-Jul,Seventeen,"""Left & Right""","8,540",
686,11-Jul,Blackpink,"""How You Like That""","10,464",
687,18-Jul,Blackpink,"""How You Like That""","10,048",
688,25-Jul,Blackpink,"""How You Like That""","8,023",
689,01-Aug,SSAK3,"""Beach Again""","8,399",
—,08-Aug,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
690,15-Aug,Kang Daniel,"""Who U Are""","7,384",
691,22-Aug,SSAK3,"""Beach Again""","7,530",
692,29-Aug,BTS,"""Dynamite""","8,882",
693,05-Sep,BTS,"""Dynamite""","9,657",
694,12-Sep,BTS,"""Dynamite""","9,755",
695,19-Sep,BTS,"""Dynamite""","8,629",
696,26-Sep,BTS,"""Dynamite""","10,602",
—,03-Oct,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
697,10-Oct,BTS,"""Dynamite""","10,319",
698,17-Oct,BTS,"""Dynamite""","10,127",
699,24-Oct,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
700,31-Oct,BTS,"""Dynamite""","9,864",
701,07-Nov,BTS,"""Dynamite""","9,740",
702,14-Nov,BTS,"""Dynamite""","10,130",
703,21-Nov,"No chart, winners were not announced","No chart, winners were not announced","No chart, winners were not announced",
704,28-Nov,BTS,"""Life Goes On""","10,656",
705,05-Dec,BTS,"""Life Goes On""","11,881",
706,12-Dec,BTS,"""Life Goes On""","10,981",
—,19-Dec,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
707,26-Dec,"No chart, winners were not announced","No chart, winners were not announced","No chart, winners were not announced",
708,02-Jan,BTS,"""Life Goes On""","8,141",
709,09-Jan,BTS,"""Life Goes On""","8,389",
710,16-Jan,BTS,"""Life Goes On""","7,819",
711,23-Jan,(G)I-dle,"""Hwaa""","9,831",
712,30-Jan,(G)I-dle,"""Hwaa""","7,454",
713,06-Feb,IU,"""Celebrity""","10,204",
—,13-Feb,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
714,20-Feb,IU,"""Celebrity""","8,847",
715,27-Feb,Kang Daniel,"""Paranoia""","10,323",
716,06-Mar,Shinee,"""Don't Call Me""","9,546",
717,13-Mar,IU,"""Celebrity""","6,935",
718,20-Mar,Lim Young-woong,"""My Starry Love""","8,292",
719,27-Mar,Rosé,"""On the Ground""","8,394",
—,03-Apr,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,10-Apr,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
720,17-Apr,IU,"""Lilac""","6,883",
721,24-Apr,Kang Daniel,"""Antidote""","10,702",
722,01-May,NU'EST,"""Inside Out""","8,800",
723,08-May,IU,"""Lilac""","6,949",
724,15-May,Highlight,"""Not The End""","7,504",
725,22-May,NCT Dream,"""Hot Sauce""","10,000",
726,29-May,BTS,"""Butter""","8,344",
727,05-Jun,BTS,"""Butter""","8,300",
728,12-Jun,BTS,"""Butter""","8,200",
729,19-Jun,BTS,"""Butter""","7,792",
730,26-Jun,BTS,"""Butter""","7,907",
731,03-Jul,Brave Girls,"""Chi Mat Ba Ram""","7,268",
732,10-Jul,NCT Dream,"""Hello Future""","6,720",
733,17-Jul,BTS,"""Permission to Dance""","7,310",
—,24-Jul,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,31-Jul,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,07-Aug,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
734,14-Aug,Astro,"""After Midnight""","8,015",
735,21-Aug,The Boyz,"""Thrill Ride""","7,401",
736,28-Aug,Red Velvet,"""Queendom""","8,967",
737,04-Sep,Red Velvet,"""Queendom""","6,454",
738,11-Sep,Red Velvet,"""Queendom""","7,321",
—,18-Sep,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
739,25-Sep,NCT 127,"""Sticker""","8,602",
740,02-Oct,NCT 127,"""Sticker""","8,532",
741,09-Oct,Key,"""Bad Love""","6,419",
742,16-Oct,Aespa,"""Savage""","9,099",
743,23-Oct,Aespa,"""Savage""","7,271",
744,30-Oct,IU,"""Strawberry Moon""","6,797",
745,06-Nov,NCT 127,"""Favorite (Vampire)""","8,456",
746,13-Nov,The Boyz,"""Maverick""","7,435",
747,20-Nov,IU,"""Strawberry Moon""","6,039",
748,27-Nov,IU,"""Strawberry Moon""","5,823",
749,04-Dec,IU,"""Strawberry Moon""","5,530",
750,11-Dec,IU,"""Strawberry Moon""","5,570",
751,18-Dec,Ive,"""Eleven""","7,486",
752,25-Dec,"Special episode, winner not announced","Special episode, winner not announced","Special episode, winner not announced",
—,01-Jan,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
753,08-Jan,Ive,"""Eleven""","6,408",
754,15-Jan,Ive,"""Eleven""","6,532",
755,22-Jan,Ive,"""Eleven""","6,600",
—,29-Jan,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,05-Feb,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,12-Feb,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,19-Feb,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
756,26-Feb,Taeyeon,"""INVU""","7,277",
757,05-Mar,Taeyeon,"""INVU""","6,379",
758,12-Mar,Taeyeon,"""INVU""","7,180",
759,19-Mar,Taeyeon,"""INVU""","7,287",
760,26-Mar,(G)I-dle,"""Tomboy""","7,588",
—,02-Apr,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
761,09-Apr,NCT Dream,"""Glitch Mode""","9,300",
—,16-Apr,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
762,23-Apr,Big Bang,"""Still Life""","7,165",
763,30-Apr,Big Bang,"""Still Life""","7,883",
764,07-May,Big Bang,"""Still Life""","6,551",
765,14-May,Lim Young-woong,"""If We Ever Meet Again""","7,885",
766,21-May,Psy feat. Suga,"""That That""","6,586",
—,28-May,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
767,04-Jun,Kang Daniel,"""Upside Down""","7,820",
768,11-Jun,NCT Dream,"""Beatbox""","9,800",
—,18-Jun,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
769,25-Jun,BTS,"""Yet to Come""","7,415",
770,02-Jul,Lim Young-woong,"""If We Ever Meet Again""","6,678",
771,09-Jul,Fromis 9,"""Stay This Way""","8,242",
772,16-Jul,Nayeon,"""Pop!""","7,022",
773,23-Jul,WSG Wannabe (GayaG),"""At That Moment""","6,153",
—,30-Jul,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
774,06-Aug,WSG Wannabe (GayaG),"""At That Moment""","6,378",
775,13-Aug,"Special episode, winner not announced","Special episode, winner not announced","Special episode, winner not announced",
776,20-Aug,NewJeans,"""Attention""","7,495",
777,27-Aug,The Boyz,"""Whisper""","6,197",
778,03-Sep,Ive,"""After Like""","9,191",
—,10-Sep,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
779,17-Sep,Ive,"""After Like""","7,807",
780,24-Sep,Ive,"""After Like""","6,935",
781,01-Oct,NCT 127,"""2 Baddies""","6,638",
782,08-Oct,Blackpink,"""Shut Down""","7,472",
—,15-Oct,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
783,22-Oct,Ive,"""After Like""","6,672",
784,29-Oct,(G)I-dle,"""Nxde""","9,081",
—,05-Nov,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
785,12-Nov,(G)I-dle,"""Nxde""","7,684",
786,19-Nov,(G)I-dle,"""Nxde""","6,191",
